"","orig.ident","nCount_RNA","nFeature_RNA","uniqueID","embryo","pos","z","x_global","y_global","x_global_affine","y_global_affine","embryo_pos","embryo_pos_z","Area","UMAP1","UMAP2","celltype_mapped_refined"
"embryo1_Pos7_cell32_z2","embryo1",109,86,"embryo1_Pos7_cell32_z2","embryo1","Pos7",2,1646.96120987102,1418.95448894623,1.66837381643904,-0.599225604427566,"embryo1_Pos7","embryo1_Pos7_2",7472,-4.97508857358931,-4.20078614252061,"Haematoendothelial progenitors"
"embryo1_Pos7_cell320_z2","embryo1",509,186,"embryo1_Pos7_cell320_z2","embryo1","Pos7",2,1667.49811000945,1393.59538807474,2.33085446606601,-1.41726111641115,"embryo1_Pos7","embryo1_Pos7_2",12560,0.0850822669438807,3.46738682424758,"Presomitic mesoderm"
"embryo1_Pos7_cell321_z2","embryo1",210,109,"embryo1_Pos7_cell321_z2","embryo1","Pos7",2,1666.99031286811,1417.23114487337,2.31447391311926,-0.654817348713401,"embryo1_Pos7","embryo1_Pos7_2",7216,0.0599273651478751,3.75794754905737,"Presomitic mesoderm"
"embryo1_Pos7_cell322_z2","embryo1",491,177,"embryo1_Pos7_cell322_z2","embryo1","Pos7",2,1667.40604166989,1415.26895320049,2.32788451962853,-0.718113854290152,"embryo1_Pos7","embryo1_Pos7_2",16144,0.217802225160673,-0.370756640754321,"Dermomyotome"
"embryo1_Pos7_cell323_z2","embryo1",291,141,"embryo1_Pos7_cell323_z2","embryo1","Pos7",2,1667.51612889711,1412.33277281287,2.33143572050647,-0.812829350665211,"embryo1_Pos7","embryo1_Pos7_2",10256,-0.0226223811069075,3.53029828990124,"Presomitic mesoderm"
"embryo1_Pos7_cell324_z2","embryo1",462,197,"embryo1_Pos7_cell324_z2","embryo1","Pos7",2,1667.95858212426,1420.97996935971,2.34570840525315,-0.533887526573601,"embryo1_Pos7","embryo1_Pos7_2",15120,-0.185922259404086,-0.985743990425874,"Presomitic mesoderm"
"embryo1_Pos7_cell325_z2","embryo1",93,63,"embryo1_Pos7_cell325_z2","embryo1","Pos7",2,1666.92430145886,1418.30803073182,2.31234451282118,-0.62007909521494,"embryo1_Pos7","embryo1_Pos7_2",3136,-0.46804496607148,1.59861055371045,"Dermomyotome"
"embryo1_Pos7_cell326_z2","embryo1",453,178,"embryo1_Pos7_cell326_z2","embryo1","Pos7",2,1667.67069124123,1401.24720546727,2.33642160257495,-1.17042829729726,"embryo1_Pos7","embryo1_Pos7_2",12688,0.289448502591632,3.67870113257627,"Presomitic mesoderm"
"embryo1_Pos7_cell327_z2","embryo1",59,44,"embryo1_Pos7_cell327_z2","embryo1","Pos7",2,1667.04619631243,1421.73307953611,2.31627660487151,-0.509593649915409,"embryo1_Pos7","embryo1_Pos7_2",3344,-0.660300981360432,2.95532708228551,"Presomitic mesoderm"
"embryo1_Pos7_cell328_z2","embryo1",563,180,"embryo1_Pos7_cell328_z2","embryo1","Pos7",2,1667.97718206442,1392.23764095666,2.34630840332283,-1.46105941054272,"embryo1_Pos7","embryo1_Pos7_2",13568,0.217326049006531,3.29160592200748,"Presomitic mesoderm"
"embryo1_Pos7_cell329_z2","embryo1",358,145,"embryo1_Pos7_cell329_z2","embryo1","Pos7",2,1667.99712883531,1407.24681198453,2.34695184754532,-0.97689260319229,"embryo1_Pos7","embryo1_Pos7_2",13216,0.127746347250631,3.54296939279149,"Presomitic mesoderm"
"embryo1_Pos7_cell330_z2","embryo1",227,105,"embryo1_Pos7_cell330_z2","embryo1","Pos7",2,1668.02390444857,1416.70089929081,2.34781557700534,-0.671922044925168,"embryo1_Pos7","embryo1_Pos7_2",9888,-0.0384804092109621,2.42096538374846,"Dermomyotome"
